"data_source","signal","time_type","geo_type","min_time","max_time","num_locations","min_value","max_value","mean_value","stdev_value","last_update","max_issue","min_lag","max_lag"
"chng","7dav_inpatient_covid","day","state",2020-01-01,2023-08-01,58,0,1,0.0379778,0.046107,1711963480,2023-08-01,0,1308
"chng","7dav_outpatient_covid","day","state",2019-01-01,2023-08-01,56,0,1,0.0057763,0.0102741,1711963480,2023-08-01,0,1673
"chng","smoothed_adj_outpatient_cli","day","county",2020-02-01,2024-02-14,3119,0.0009331,99.9980495,1.9238237,3.7179059,1708400432,2024-02-19,3,674
"chng","smoothed_adj_outpatient_cli","day","hhs",2020-02-01,2024-02-14,10,0.0061953,99.9996572,2.1786572,2.9502248,1708400436,2024-02-19,5,674
"chng","smoothed_adj_outpatient_cli","day","hrr",2020-02-01,2024-02-14,306,0.0010292,50.815903,1.9914499,2.5739816,1708400436,2024-02-19,5,674
"chng","smoothed_adj_outpatient_cli","day","msa",2020-02-01,2024-02-14,392,0.0007662,99.9989806,1.8325651,2.7690113,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_cli","day","nation",2020-02-01,2024-02-14,1,0.0154639,12.0869746,2.3476915,2.2792631,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_cli","day","state",2020-02-01,2024-02-14,55,0.0013343,99.9995633,1.9595093,2.8460771,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_covid","day","county",2020-02-01,2024-02-14,3118,0.0007317,99.7382199,0.7897597,1.2604588,1708400433,2024-02-19,3,674
"chng","smoothed_adj_outpatient_covid","day","hhs",2020-02-01,2024-02-14,10,9.94e-05,47.1757678,0.758748,1.2752592,1708400436,2024-02-19,5,674
"chng","smoothed_adj_outpatient_covid","day","hrr",2020-02-01,2024-02-14,306,0.0004377,50.3590956,0.7379263,0.9213437,1708400436,2024-02-19,5,674
"chng","smoothed_adj_outpatient_covid","day","msa",2020-02-01,2024-02-14,392,0.0003621,84.2126626,0.7507935,1.2899205,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_covid","day","nation",2020-02-01,2024-02-14,1,0.0002647,29.0740775,0.7761674,1.1225822,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_covid","day","state",2020-02-01,2024-02-14,55,0.0001764,99.984985,0.799901,2.2962465,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_flu","day","county",2020-02-01,2024-02-14,3118,0.0007864,99.8031496,0.2200146,0.5945624,1708400433,2024-02-19,4,674
"chng","smoothed_adj_outpatient_flu","day","hhs",2020-02-01,2024-02-14,10,0.0001256,2.9665199,0.129573,0.2910451,1708400436,2024-02-19,5,674
"chng","smoothed_adj_outpatient_flu","day","hrr",2020-02-01,2024-02-14,306,0.0006665,7.3989023,0.157989,0.3502602,1708400436,2024-02-19,5,674
"chng","smoothed_adj_outpatient_flu","day","msa",2020-02-01,2024-02-14,392,0.0005895,9.1334945,0.1593255,0.3449737,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_flu","day","nation",2020-02-01,2024-02-14,1,0.0042567,2.1340409,0.1410768,0.2817595,1708400437,2024-02-19,5,674
"chng","smoothed_adj_outpatient_flu","day","state",2020-02-01,2024-02-14,55,0.0003211,5.0601173,0.1349185,0.3161708,1708400438,2024-02-19,5,674
"chng","smoothed_outpatient_cli","day","county",2020-02-01,2024-02-14,3119,0.0008986,99.911661,1.7494246,3.2141828,1708400434,2024-02-19,3,674
"chng","smoothed_outpatient_cli","day","hhs",2020-02-01,2024-02-14,10,0.0057532,21.7526533,2.1935759,2.4568923,1708400436,2024-02-19,5,674
"chng","smoothed_outpatient_cli","day","hrr",2020-02-01,2024-02-14,306,0.0010292,54.076492,2.0121518,2.5913195,1708400436,2024-02-19,5,674
"chng","smoothed_outpatient_cli","day","msa",2020-02-01,2024-02-14,392,0.0007571,54.213362,1.7692415,2.3668653,1708400437,2024-02-19,5,674
"chng","smoothed_outpatient_cli","day","nation",2020-02-01,2024-02-14,1,0.014286,13.183495,2.4016659,2.3445632,1708400437,2024-02-19,5,674
"chng","smoothed_outpatient_cli","day","state",2020-02-01,2024-02-14,55,0.0012136,38.0980677,1.976939,2.4902626,1708400438,2024-02-19,5,674
"chng","smoothed_outpatient_covid","day","county",2020-02-01,2024-02-14,3118,0.0007317,99.7382199,0.7295667,1.1518214,1708400435,2024-02-19,3,674
"chng","smoothed_outpatient_covid","day","hhs",2020-02-01,2024-02-14,10,0.0001026,7.902697,0.7473772,0.7532255,1708400436,2024-02-19,5,674
"chng","smoothed_outpatient_covid","day","hrr",2020-02-01,2024-02-14,306,0.0004265,13.8813489,0.75981,0.8821325,1708400436,2024-02-19,5,674
"chng","smoothed_outpatient_covid","day","msa",2020-02-01,2024-02-14,392,0.0003196,15.0058502,0.6983567,0.8724389,1708400437,2024-02-19,5,674
"chng","smoothed_outpatient_covid","day","nation",2020-02-01,2024-02-14,1,0.0002781,5.7484116,0.7763361,0.7077705,1708400437,2024-02-19,5,674
"chng","smoothed_outpatient_covid","day","state",2020-02-01,2024-02-14,55,0.0001764,10.9664911,0.7277603,0.824994,1708400438,2024-02-19,5,674
"chng","smoothed_outpatient_flu","day","county",2020-02-01,2024-02-14,3118,0.0007864,99.8031496,0.2120383,0.5747436,1708400435,2024-02-19,4,674
"chng","smoothed_outpatient_flu","day","hhs",2020-02-01,2024-02-14,10,0.0001256,3.3283321,0.1325491,0.2889045,1708400436,2024-02-19,5,674
"chng","smoothed_outpatient_flu","day","hrr",2020-02-01,2024-02-14,306,0.0007358,7.7181903,0.1580634,0.3454277,1708400437,2024-02-19,5,674
"chng","smoothed_outpatient_flu","day","msa",2020-02-01,2024-02-14,392,0.0005895,7.7881801,0.1547919,0.327931,1708400437,2024-02-19,5,674
"chng","smoothed_outpatient_flu","day","nation",2020-02-01,2024-02-14,1,0.0042154,1.8960681,0.1439693,0.2751247,1708400437,2024-02-19,5,674
"chng","smoothed_outpatient_flu","day","state",2020-02-01,2024-02-14,55,0.0003211,5.2040069,0.1365516,0.3116242,1708400438,2024-02-19,5,674
"covid-act-now","pcr_specimen_positivity_rate","day","county",2020-03-01,2021-12-02,3126,0,1,0.0979475,0.0903481,1639159151,2021-12-10,2,529
"covid-act-now","pcr_specimen_positivity_rate","day","hhs",2020-03-01,2021-12-02,10,0,0.65,0.0806975,0.0559965,1639159154,2021-12-10,8,585
"covid-act-now","pcr_specimen_positivity_rate","day","hrr",2020-03-01,2021-12-02,306,0,1,0.0864302,0.069691,1639159155,2021-12-10,4,599
"covid-act-now","pcr_specimen_positivity_rate","day","msa",2020-03-01,2021-12-02,384,0,1,0.087359,0.0711056,1639159155,2021-12-10,3,529
"covid-act-now","pcr_specimen_positivity_rate","day","nation",2020-03-01,2021-12-02,1,0.0180044,0.2183382,0.0809607,0.0406573,1639159155,2021-12-10,8,529
"covid-act-now","pcr_specimen_positivity_rate","day","state",2020-03-01,2021-12-02,51,0,1,0.0834229,0.0659636,1639159155,2021-12-10,3,585
"covid-act-now","pcr_specimen_total_tests","day","county",2020-03-01,2021-12-02,3126,0.14,161333.71,338.7239566,1757.0608222,1639159153,2021-12-10,2,428
"covid-act-now","pcr_specimen_total_tests","day","hhs",2020-03-01,2021-12-02,10,2,387262.01,98225.6981138,78754.8915,1639159155,2021-12-10,8,585
"covid-act-now","pcr_specimen_total_tests","day","hrr",2020-03-01,2021-12-02,306,1.55e-05,161288.2579186,3240.5090482,6316.7070508,1639159155,2021-12-10,4,526
"covid-act-now","pcr_specimen_total_tests","day","msa",2020-03-01,2021-12-02,384,0.14,174380.71,2342.0841463,7999.6725139,1639159155,2021-12-10,2,428
"covid-act-now","pcr_specimen_total_tests","day","nation",2020-03-01,2021-12-02,1,1433.8,1768763.07,981518.2845639,460852.3824205,1639159155,2021-12-10,8,428
"covid-act-now","pcr_specimen_total_tests","day","state",2020-03-01,2021-12-02,51,0.14,344887.85,19433.6865717,31650.7665229,1639159155,2021-12-10,2,585
"doctor-visits","smoothed_adj_cli","day","county",2020-02-01,2024-11-27,2597,0,87.670832,2.1954872,3.4407688,1733103216,2024-12-01,2,129
"doctor-visits","smoothed_adj_cli","day","hhs",2020-02-01,2024-11-27,10,0.071857,31.731976,2.6943899,3.3851491,1733103220,2024-12-01,4,126
"doctor-visits","smoothed_adj_cli","day","hrr",2020-02-01,2024-11-27,306,0,62.072299,2.4856275,3.5473208,1733103222,2024-12-01,4,129
"doctor-visits","smoothed_adj_cli","day","msa",2020-02-01,2024-11-27,384,0,83.92411,2.3099457,3.4386663,1733103225,2024-12-01,4,129
"doctor-visits","smoothed_adj_cli","day","nation",2020-02-01,2024-11-27,1,0.120549,21.575689,2.8861985,3.3568972,1733103227,2024-12-01,4,126
"doctor-visits","smoothed_adj_cli","day","state",2020-02-01,2024-11-27,53,0,79.135443,2.5058756,3.8352679,1733103230,2024-12-01,3,129
"doctor-visits","smoothed_cli","day","county",2020-02-01,2024-11-27,2597,0,76.569615,1.8684334,2.9522435,1733103218,2024-12-01,2,129
"doctor-visits","smoothed_cli","day","hhs",2020-02-01,2024-11-27,10,0.055393,35.777605,2.9837137,3.7563227,1733103221,2024-12-01,4,126
"doctor-visits","smoothed_cli","day","hrr",2020-02-01,2024-11-27,306,0,52.474626,2.370774,3.4564214,1733103223,2024-12-01,4,129
"doctor-visits","smoothed_cli","day","msa",2020-02-01,2024-11-27,385,0,65.645487,2.0821999,3.1415473,1733103226,2024-12-01,4,129
"doctor-visits","smoothed_cli","day","nation",2020-02-01,2024-11-27,1,0.120689,26.252728,3.2016314,3.7568773,1733103228,2024-12-01,4,126
"doctor-visits","smoothed_cli","day","state",2020-02-01,2024-11-27,53,0,61.764374,2.6586059,3.8750285,1733103231,2024-12-01,3,129
"dsew-cpr","booster_doses_admin_7dav","day","hhs",2021-11-01,2023-02-22,10,360.8571429,211419.2857143,25422.797562,37932.1282922,1677257499,2023-02-24,1,182
"dsew-cpr","booster_doses_admin_7dav","day","nation",2021-11-01,2023-02-22,1,14740.2857143,1100514.8571429,257525.9704433,312271.1870132,1677257500,2023-02-24,1,182
"dsew-cpr","booster_doses_admin_7dav","day","state",2021-11-01,2023-02-22,56,0,194532.1428571,4613.3131688,11601.9151563,1677257500,2023-02-24,1,182
"dsew-cpr","confirmed_admissions_covid_1d_7dav","day","county",2021-01-07,2023-02-21,3272,0,825.571428571429,2.3294191,9.6538384,1677257476,2023-02-24,3,480
"dsew-cpr","confirmed_admissions_covid_1d_7dav","day","hhs",2020-12-16,2023-02-21,10,23.2857143,4990,667.6785049,780.5578655,1677257490,2023-02-24,3,502
"dsew-cpr","confirmed_admissions_covid_1d_7dav","day","msa",2021-01-07,2023-02-21,392,0,1902.71428571429,14.2411998,42.714571,1677257491,2023-02-24,3,480
"dsew-cpr","confirmed_admissions_covid_1d_7dav","day","nation",2020-12-16,2023-02-21,1,1338.2857143,21086.1428571,6676.7850488,4537.105663,1677257492,2023-02-24,3,502
"dsew-cpr","confirmed_admissions_covid_1d_7dav","day","state",2020-12-16,2023-02-21,56,0,2379,119.5731249,215.9007672,1677257492,2023-02-24,3,502
"dsew-cpr","confirmed_admissions_covid_1d_prop_7dav","day","county",2021-01-07,2023-02-21,3219,0,569.2346462,1.8762013,4.3113657,1677257484,2023-02-24,3,480
"dsew-cpr","confirmed_admissions_covid_1d_prop_7dav","day","hhs",2020-12-16,2023-02-21,10,0.1568329,8.1781998,1.863108,1.4513172,1677257490,2023-02-24,3,502
"dsew-cpr","confirmed_admissions_covid_1d_prop_7dav","day","msa",2021-01-07,2023-02-21,392,0,52.2139965155508,2.1629876,2.5039056,1677257492,2023-02-24,3,480
"dsew-cpr","confirmed_admissions_covid_1d_prop_7dav","day","nation",2020-12-16,2023-02-21,1,0.4005607,6.3112681,1.9984205,1.3579956,1677257492,2023-02-24,3,502
"dsew-cpr","confirmed_admissions_covid_1d_prop_7dav","day","state",2020-12-16,2023-02-21,56,0,35.7918347,1.9012573,1.9888021,1677257493,2023-02-24,3,502
"dsew-cpr","covid_naat_pct_positive_7dav","day","county",2020-12-07,2023-02-20,3198,0,1,0.1155519,0.0997406,1677257475,2023-02-24,4,522
"dsew-cpr","covid_naat_pct_positive_7dav","day","hhs",2020-12-07,2023-02-20,10,0.004,0.436,0.0919346,0.0679411,1677257476,2023-02-24,4,522
"dsew-cpr","covid_naat_pct_positive_7dav","day","msa",2020-12-07,2023-02-20,392,0,1,0.1084464,0.0916635,1677257476,2023-02-24,4,522
"dsew-cpr","covid_naat_pct_positive_7dav","day","nation",2020-12-07,2023-02-20,1,0.0197007,0.3145435,0.097572,0.0623476,1677257476,2023-02-24,4,522
"dsew-cpr","covid_naat_pct_positive_7dav","day","state",2020-12-07,2023-02-20,55,0,0.946,0.0997204,0.0823642,1677257476,2023-02-24,4,522
"dsew-cpr","doses_admin_7dav","day","hhs",2021-05-02,2023-02-22,10,-25415,416729.2857143,70956.6438044,69418.1294544,1677257499,2023-02-24,1,365
"dsew-cpr","doses_admin_7dav","day","nation",2021-05-02,2023-02-22,1,84396.2857143,2405770.1428571,706882.2067602,508222.8169732,1677257500,2023-02-24,1,365
"dsew-cpr","doses_admin_7dav","day","state",2021-05-02,2023-02-22,56,-34912.7142857,340911.8571429,12732.1491109,23061.218246,1677257500,2023-02-24,1,365
