State,State abbreviation,MSA code,MSA name
Alabama,AL,33860,"Montgomery, AL"
Alabama,AL,19300,"Daphne-Fairhope-Foley, AL"
Alabama,AL,13820,"Birmingham-Hoover, AL"
Alabama,AL,11500,"Anniston-Oxford-Jacksonville, AL"
Alabama,AL,22520,"Florence-Muscle Shoals, AL"
Alabama,AL,23460,"Gadsden, AL"
Alabama,AL,20020,"Dothan, AL"
Alabama,AL,46220,"Tuscaloosa, AL"
Alabama,AL,19460,"Decatur, AL"
Alabama,AL,12220,"Auburn-Opelika, AL"
Alabama,AL,26620,"Huntsville, AL"
Alabama,AL,33660,"Mobile, AL"
Alabama,AL,17980,"Columbus, GA-AL"
Alaska,AK,11260,"Anchorage, AK"
Alaska,AK,21820,"Fairbanks, AK"
Arizona,AZ,43420,"Sierra Vista-Douglas, AZ"
Arizona,AZ,22380,"Flagstaff, AZ"
Arizona,AZ,38060,"Phoenix-Mesa-Scottsdale, AZ"
Arizona,AZ,29420,"Lake Havasu City-Kingman, AZ"
Arizona,AZ,46060,"Tucson, AZ"
Arizona,AZ,39140,"Prescott, AZ"
Arizona,AZ,49740,"Yuma, AZ"
Arkansas,AR,22220,"Fayetteville-Springdale-Rogers, AR-MO"
Arkansas,AR,38220,"Pine Bluff, AR"
Arkansas,AR,27860,"Jonesboro, AR"
Arkansas,AR,22900,"Fort Smith, AR-OK"
Arkansas,AR,32820,"Memphis, TN-MS-AR"
Arkansas,AR,30780,"Little Rock-North Little Rock-Conway, AR"
Arkansas,AR,26300,"Hot Springs, AR"
Arkansas,AR,45500,"Texarkana, TX-AR"
California,CA,41860,"San Francisco-Oakland-Hayward, CA"
California,CA,17020,"Chico, CA"
California,CA,40900,"Sacramento--Roseville--Arden-Arcade, CA"
California,CA,23420,"Fresno, CA"
California,CA,20940,"El Centro, CA"
California,CA,12540,"Bakersfield, CA"
California,CA,25260,"Hanford-Corcoran, CA"
California,CA,31080,"Los Angeles-Long Beach-Anaheim, CA"
California,CA,31460,"Madera, CA"
California,CA,32900,"Merced, CA"
California,CA,41500,"Salinas, CA"
California,CA,34900,"Napa, CA"
California,CA,40140,"Riverside-San Bernardino-Ontario, CA"
California,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA"
California,CA,41740,"San Diego-Carlsbad, CA"
California,CA,44700,"Stockton-Lodi, CA"
California,CA,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
California,CA,42200,"Santa Maria-Santa Barbara, CA"
California,CA,42100,"Santa Cruz-Watsonville, CA"
California,CA,39820,"Redding, CA"
California,CA,46700,"Vallejo-Fairfield, CA"
California,CA,42220,"Santa Rosa, CA"
California,CA,33700,"Modesto, CA"
California,CA,49700,"Yuba City, CA"
California,CA,47300,"Visalia-Porterville, CA"
California,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA"
Colorado,CO,19740,"Denver-Aurora-Lakewood, CO"
Colorado,CO,14500,"Boulder, CO"
Colorado,CO,17820,"Colorado Springs, CO"
Colorado,CO,22660,"Fort Collins, CO"
Colorado,CO,24300,"Grand Junction, CO"
Colorado,CO,39380,"Pueblo, CO"
Colorado,CO,24540,"Greeley, CO"
Connecticut,CT,72850,"Danbury, CT"
Connecticut,CT,71950,"Bridgeport-Stamford-Norwalk, CT"
Connecticut,CT,73450,"Hartford-West Hartford-East Hartford, CT"
Connecticut,CT,78100,"Springfield, MA-CT"
Connecticut,CT,78700,"Waterbury, CT"
Connecticut,CT,75700,"New Haven, CT"
Connecticut,CT,76450,"Norwich-New London-Westerly, CT-RI"
Connecticut,CT,79600,"Worcester, MA-CT"
Delaware,DE,20100,"Dover, DE"
Delaware,DE,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Delaware,DE,41540,"Salisbury, MD-DE"
District of Columbia,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Florida,FL,23540,"Gainesville, FL"
Florida,FL,27260,"Jacksonville, FL"
Florida,FL,37460,"Panama City, FL"
Florida,FL,37340,"Palm Bay-Melbourne-Titusville, FL"
Florida,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
Florida,FL,39460,"Punta Gorda, FL"
Florida,FL,26140,"Homosassa Springs, FL"
Florida,FL,34940,"Naples-Immokalee-Marco Island, FL"
Florida,FL,37860,"Pensacola-Ferry Pass-Brent, FL"
Florida,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
Florida,FL,45220,"Tallahassee, FL"
